,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
4,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
7,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1
8,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
9,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1
10,1,1,1,1,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0
11,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0
12,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
13,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
14,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
